user_id,org_id,account_id,email,created_at
usr_acc_001_1,org_001,acc_001,user1@company1.com,2024-01-01
usr_acc_001_2,org_001,acc_001,user2@company1.com,2024-01-01
usr_acc_001_3,org_001,acc_001,user3@company1.com,2024-01-01
usr_acc_002_1,org_001,acc_002,user1@company2.com,2024-02-05
usr_acc_002_2,org_001,acc_002,user2@company2.com,2024-02-05
usr_acc_002_3,org_001,acc_002,user3@company2.com,2024-02-05
usr_acc_003_1,org_001,acc_003,user1@company3.com,2024-06-18
usr_acc_003_2,org_001,acc_003,user2@company3.com,2024-06-18
usr_acc_003_3,org_001,acc_003,user3@company3.com,2024-06-18
usr_acc_004_1,org_001,acc_004,user1@company4.com,2024-04-02
usr_acc_004_2,org_001,acc_004,user2@company4.com,2024-04-02
usr_acc_004_3,org_001,acc_004,user3@company4.com,2024-04-02
usr_acc_005_1,org_001,acc_005,user1@company5.com,2024-02-08
usr_acc_005_2,org_001,acc_005,user2@company5.com,2024-02-08
usr_acc_005_3,org_001,acc_005,user3@company5.com,2024-02-08
usr_acc_006_1,org_001,acc_006,user1@company6.com,2024-02-23
usr_acc_006_2,org_001,acc_006,user2@company6.com,2024-02-23
usr_acc_006_3,org_001,acc_006,user3@company6.com,2024-02-23
usr_acc_007_1,org_001,acc_007,user1@company7.com,2024-04-19
usr_acc_007_2,org_001,acc_007,user2@company7.com,2024-04-19
usr_acc_007_3,org_001,acc_007,user3@company7.com,2024-04-19
usr_acc_008_1,org_001,acc_008,user1@company8.com,2024-02-23
usr_acc_008_2,org_001,acc_008,user2@company8.com,2024-02-23
usr_acc_008_3,org_001,acc_008,user3@company8.com,2024-02-23
usr_acc_009_1,org_001,acc_009,user1@company9.com,2024-03-05
usr_acc_009_2,org_001,acc_009,user2@company9.com,2024-03-05
usr_acc_009_3,org_001,acc_009,user3@company9.com,2024-03-05
usr_acc_010_1,org_001,acc_010,user1@company10.com,2024-01-03
usr_acc_010_2,org_001,acc_010,user2@company10.com,2024-01-03
usr_acc_010_3,org_001,acc_010,user3@company10.com,2024-01-03
usr_acc_011_1,org_001,acc_011,user1@company11.com,2024-03-28
usr_acc_011_2,org_001,acc_011,user2@company11.com,2024-03-28
usr_acc_011_3,org_001,acc_011,user3@company11.com,2024-03-28
usr_acc_012_1,org_001,acc_012,user1@company12.com,2024-03-26
usr_acc_012_2,org_001,acc_012,user2@company12.com,2024-03-26
usr_acc_012_3,org_001,acc_012,user3@company12.com,2024-03-26
usr_acc_013_1,org_001,acc_013,user1@company13.com,2024-04-18
usr_acc_013_2,org_001,acc_013,user2@company13.com,2024-04-18
usr_acc_013_3,org_001,acc_013,user3@company13.com,2024-04-18
usr_acc_014_1,org_001,acc_014,user1@company14.com,2024-01-18
usr_acc_014_2,org_001,acc_014,user2@company14.com,2024-01-18
usr_acc_014_3,org_001,acc_014,user3@company14.com,2024-01-18
usr_acc_015_1,org_001,acc_015,user1@company15.com,2024-05-28
usr_acc_015_2,org_001,acc_015,user2@company15.com,2024-05-28
usr_acc_015_3,org_001,acc_015,user3@company15.com,2024-05-28
usr_acc_016_1,org_001,acc_016,user1@company16.com,2024-02-23
usr_acc_016_2,org_001,acc_016,user2@company16.com,2024-02-23
usr_acc_016_3,org_001,acc_016,user3@company16.com,2024-02-23
usr_acc_017_1,org_001,acc_017,user1@company17.com,2024-06-08
usr_acc_017_2,org_001,acc_017,user2@company17.com,2024-06-08
usr_acc_017_3,org_001,acc_017,user3@company17.com,2024-06-08
usr_acc_018_1,org_001,acc_018,user1@company18.com,2024-02-28
usr_acc_018_2,org_001,acc_018,user2@company18.com,2024-02-28
usr_acc_018_3,org_001,acc_018,user3@company18.com,2024-02-28
usr_acc_019_1,org_001,acc_019,user1@company19.com,2024-03-15
usr_acc_019_2,org_001,acc_019,user2@company19.com,2024-03-15
usr_acc_019_3,org_001,acc_019,user3@company19.com,2024-03-15
usr_acc_020_1,org_001,acc_020,user1@company20.com,2024-03-12
usr_acc_020_2,org_001,acc_020,user2@company20.com,2024-03-12
usr_acc_020_3,org_001,acc_020,user3@company20.com,2024-03-12
